Query_Name	Query
basic_NIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Anatomy Category"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT "Diseases Category"[MeSH Major Topic]
basic_notNIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Anatomy Category"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT "Diseases Category"[MeSH Major Topic]
translational_NIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Anatomy Category"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Therapeutics"[MeSH Major Topic] OR "therapeutic use" [Subheading] OR "therapy" [Subheading] OR "Dentistry"[MeSH Major Topic]) AND "Diseases Category"[MeSH Major Topic] NOT ("Surgical Procedures, Operative"[MeSH Major Topic] OR "Diagnostic Techniques, Surgical"[MeSH Major Topic] OR "Surgically-Created Structures"[MeSH Major Topic] OR "Surgical Clearance"[MeSH Major Topic] OR "surgery"[Subheading] OR "Diagnosis"[MeSH Major Topic] OR "diagnosis"[Subheading] OR "diagnostic imaging"[Subheading] OR "Investigative Techniques"[MeSH Major Topic] OR "Atmosphere Exposure Chambers"[MeSH Major Topic] OR "Bioreactors"[MeSH Major Topic] OR "Catheters"[MeSH Major Topic] OR "Intrauterine Devices"[MeSH Major Topic] OR "Dental Equipment"[MeSH Major Topic] OR "Diagnostic Equipment"[MeSH Major Topic] OR "Diffusion Chambers, Culture"[MeSH Major Topic] OR "Durable Medical Equipment"[MeSH Major Topic] OR "Amplifiers, Electronic"[MeSH Major Topic] OR "Brain-Computer Interfaces"[MeSH Major Topic] OR "Cathode Ray Tube"[MeSH Major Topic] OR "Micro-Electrical-Mechanical Systems"[MeSH Major Topic] OR "Wearable Electronic Devices"[MeSH Major Topic] OR "Gastric Balloon"[MeSH Major Topic] OR "Gravity Suits"[MeSH Major Topic] OR "Incubators"[MeSH Major Topic] OR "Infusion Pumps"[MeSH Major Topic] OR "Microbubbles"[MeSH Major Topic] OR "Nebulizers and Vaporizers"[MeSH Major Topic] OR "Optical Devices"[MeSH Major Topic] OR "Oxygenators"[MeSH Major Topic] OR "Phantoms, Imaging"[MeSH Major Topic] OR "Prostheses and Implants"[MeSH Major Topic] OR ("Radiation Equipment and Supplies"[MeSH Major Topic] NOT "Fiducial Markers"[MeSH Major Topic]) OR "Self-Help Devices"[MeSH Major Topic] OR "Sensory Aids"[MeSH Major Topic] OR "Tomography Scanners, X-Ray Computed"[MeSH Major Topic] OR "Tourniquets"[MeSH Major Topic] OR "Ventilators, Mechanical"[MeSH Major Topic] OR "X-Ray Intensifying Screens"[MeSH Major Topic] OR "Diagnosis, Computer-Assisted"[MeSH Major Topic] OR "Diagnostic Imaging"[MeSH Major Topic])
translational_notNIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Anatomy Category"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Therapeutics"[MeSH Major Topic] OR "therapeutic use" [Subheading] OR "therapy" [Subheading] OR "Dentistry"[MeSH Major Topic]) AND "Diseases Category"[MeSH Major Topic] NOT ("Surgical Procedures, Operative"[MeSH Major Topic] OR "Diagnostic Techniques, Surgical"[MeSH Major Topic] OR "Surgically-Created Structures"[MeSH Major Topic] OR "Surgical Clearance"[MeSH Major Topic] OR "surgery"[Subheading] OR "Diagnosis"[MeSH Major Topic] OR "diagnosis"[Subheading] OR "diagnostic imaging"[Subheading] OR "Investigative Techniques"[MeSH Major Topic] OR "Atmosphere Exposure Chambers"[MeSH Major Topic] OR "Bioreactors"[MeSH Major Topic] OR "Catheters"[MeSH Major Topic] OR "Intrauterine Devices"[MeSH Major Topic] OR "Dental Equipment"[MeSH Major Topic] OR "Diagnostic Equipment"[MeSH Major Topic] OR "Diffusion Chambers, Culture"[MeSH Major Topic] OR "Durable Medical Equipment"[MeSH Major Topic] OR "Amplifiers, Electronic"[MeSH Major Topic] OR "Brain-Computer Interfaces"[MeSH Major Topic] OR "Cathode Ray Tube"[MeSH Major Topic] OR "Micro-Electrical-Mechanical Systems"[MeSH Major Topic] OR "Wearable Electronic Devices"[MeSH Major Topic] OR "Gastric Balloon"[MeSH Major Topic] OR "Gravity Suits"[MeSH Major Topic] OR "Incubators"[MeSH Major Topic] OR "Infusion Pumps"[MeSH Major Topic] OR "Microbubbles"[MeSH Major Topic] OR "Nebulizers and Vaporizers"[MeSH Major Topic] OR "Optical Devices"[MeSH Major Topic] OR "Oxygenators"[MeSH Major Topic] OR "Phantoms, Imaging"[MeSH Major Topic] OR "Prostheses and Implants"[MeSH Major Topic] OR ("Radiation Equipment and Supplies"[MeSH Major Topic] NOT "Fiducial Markers"[MeSH Major Topic]) OR "Self-Help Devices"[MeSH Major Topic] OR "Sensory Aids"[MeSH Major Topic] OR "Tomography Scanners, X-Ray Computed"[MeSH Major Topic] OR "Tourniquets"[MeSH Major Topic] OR "Ventilators, Mechanical"[MeSH Major Topic] OR "X-Ray Intensifying Screens"[MeSH Major Topic] OR "Diagnosis, Computer-Assisted"[MeSH Major Topic] OR "Diagnostic Imaging"[MeSH Major Topic])
clinical_NIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND "Diseases Category"[MeSH Major Topic] AND ("Surgical Procedures, Operative"[MeSH Major Topic] OR "Diagnostic Techniques, Surgical"[MeSH Major Topic] OR "Surgically-Created Structures"[MeSH Major Topic] OR "Surgical Clearance"[MeSH Major Topic] OR "surgery"[Subheading] OR "Diagnosis"[MeSH Major Topic] OR "diagnosis"[Subheading] OR "diagnostic imaging"[Subheading] OR "Investigative Techniques"[MeSH Major Topic] OR "Anesthesia and Analgesia"[MeSH Major Topic] OR "Atmosphere Exposure Chambers"[MeSH Major Topic] OR "Bioreactors"[MeSH Major Topic] OR "Catheters"[MeSH Major Topic] OR "Intrauterine Devices"[MeSH Major Topic] OR "Dental Equipment"[MeSH Major Topic] OR "Diagnostic Equipment"[MeSH Major Topic] OR "Diffusion Chambers, Culture"[MeSH Major Topic] OR "Durable Medical Equipment"[MeSH Major Topic] OR "Amplifiers, Electronic"[MeSH Major Topic] OR "Brain-Computer Interfaces"[MeSH Major Topic] OR "Cathode Ray Tube"[MeSH Major Topic] OR "Micro-Electrical-Mechanical Systems"[MeSH Major Topic] OR "Wearable Electronic Devices"[MeSH Major Topic] OR "Gastric Balloon"[MeSH Major Topic] OR "Gravity Suits"[MeSH Major Topic] OR "Incubators"[MeSH Major Topic] OR "Infusion Pumps"[MeSH Major Topic] OR "Microbubbles"[MeSH Major Topic] OR "Nebulizers and Vaporizers"[MeSH Major Topic] OR "Optical Devices"[MeSH Major Topic] OR "Oxygenators"[MeSH Major Topic] OR "Phantoms, Imaging"[MeSH Major Topic] OR "Prostheses and Implants"[MeSH Major Topic] OR ("Radiation Equipment and Supplies"[MeSH Major Topic] NOT "Fiducial Markers"[MeSH Major Topic]) OR "Self-Help Devices"[MeSH Major Topic] OR "Sensory Aids"[MeSH Major Topic] OR "Tomography Scanners, X-Ray Computed"[MeSH Major Topic] OR "Tourniquets"[MeSH Major Topic] OR "Ventilators, Mechanical"[MeSH Major Topic] OR "X-Ray Intensifying Screens"[MeSH Major Topic] OR "Diagnosis, Computer-Assisted"[MeSH Major Topic] OR "Diagnostic Imaging"[MeSH Major Topic])
clinical_notNIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND "Diseases Category"[MeSH Major Topic] AND ("Surgical Procedures, Operative"[MeSH Major Topic] OR "Diagnostic Techniques, Surgical"[MeSH Major Topic] OR "Surgically-Created Structures"[MeSH Major Topic] OR "Surgical Clearance"[MeSH Major Topic] OR "surgery"[Subheading] OR "Diagnosis"[MeSH Major Topic] OR "diagnosis"[Subheading] OR "diagnostic imaging"[Subheading] OR "Investigative Techniques"[MeSH Major Topic] OR "Anesthesia and Analgesia"[MeSH Major Topic] OR "Atmosphere Exposure Chambers"[MeSH Major Topic] OR "Bioreactors"[MeSH Major Topic] OR "Catheters"[MeSH Major Topic] OR "Intrauterine Devices"[MeSH Major Topic] OR "Dental Equipment"[MeSH Major Topic] OR "Diagnostic Equipment"[MeSH Major Topic] OR "Diffusion Chambers, Culture"[MeSH Major Topic] OR "Durable Medical Equipment"[MeSH Major Topic] OR "Amplifiers, Electronic"[MeSH Major Topic] OR "Brain-Computer Interfaces"[MeSH Major Topic] OR "Cathode Ray Tube"[MeSH Major Topic] OR "Micro-Electrical-Mechanical Systems"[MeSH Major Topic] OR "Wearable Electronic Devices"[MeSH Major Topic] OR "Gastric Balloon"[MeSH Major Topic] OR "Gravity Suits"[MeSH Major Topic] OR "Incubators"[MeSH Major Topic] OR "Infusion Pumps"[MeSH Major Topic] OR "Microbubbles"[MeSH Major Topic] OR "Nebulizers and Vaporizers"[MeSH Major Topic] OR "Optical Devices"[MeSH Major Topic] OR "Oxygenators"[MeSH Major Topic] OR "Phantoms, Imaging"[MeSH Major Topic] OR "Prostheses and Implants"[MeSH Major Topic] OR ("Radiation Equipment and Supplies"[MeSH Major Topic] NOT "Fiducial Markers"[MeSH Major Topic]) OR "Self-Help Devices"[MeSH Major Topic] OR "Sensory Aids"[MeSH Major Topic] OR "Tomography Scanners, X-Ray Computed"[MeSH Major Topic] OR "Tourniquets"[MeSH Major Topic] OR "Ventilators, Mechanical"[MeSH Major Topic] OR "X-Ray Intensifying Screens"[MeSH Major Topic] OR "Diagnosis, Computer-Assisted"[MeSH Major Topic] OR "Diagnostic Imaging"[MeSH Major Topic])
trial_NIH	("Clinical Trial, Phase II"[Publication Type] OR "Clinical Trial, Phase III"[Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
trial_notNIH	("Clinical Trial, Phase II"[Publication Type] OR "Clinical Trial, Phase III"[Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
healthcare_NIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND ("Health Care Category"[MeSH Major Topic])
healthcare_notNIH	("Journal Article"[Publication Type] NOT "Clinical Study"[Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type]) AND ("Health Care Category"[MeSH Major Topic])
